Make,Colour,Odometer (KM),Doors,Price
Honda,Red,86054,4,"$5,600.00"
Nissan,White,211215,4,"$2,000.00"
Toyota,Blue,29165,3,"$7,600.00"
Toyota,Green,103470,4,"$2,700.00"
Toyota,Green,103699,4,"$3,800.00"
Nissan,White,219741,4,"$4,900.00"
Toyota,Blue,36624,3,"$8,300.00"
Toyota,White,149251,4,"$3,800.00"
Honda,Blue,52069,4,"$6,800.00"
Honda,Blue,56573,4,"$8,300.00"
Honda,Blue,57906,4,"$7,500.00"
Honda,Blue,37747,4,"$7,600.00"
Toyota,White,55423,4,"$7,000.00"
Toyota,Green,103802,4,"$2,900.00"
Nissan,White,41092,4,"$9,800.00"
Toyota,White,147201,4,"$5,200.00"
BMW,Black,11427,5,"$22,700.00"
Honda,Blue,43098,4,"$9,300.00"
Toyota,White,69554,4,"$5,100.00"
Toyota,Green,99087,4,"$2,600.00"
Nissan,White,36751,4,"$10,600.00"
Toyota,White,158682,4,"$5,200.00"
Nissan,White,22754,4,"$9,900.00"
Honda,Blue,40197,4,"$9,400.00"
Toyota,Blue,28844,3,"$7,100.00"
Toyota,White,62183,4,"$5,600.00"
Toyota,Blue,35423,3,"$5,000.00"
Toyota,White,68032,4,"$7,200.00"
Honda,Red,83438,4,"$5,100.00"
Honda,Blue,54375,4,"$8,100.00"
Toyota,Green,104799,4,"$4,200.00"
Honda,Blue,38255,4,"$8,700.00"
Nissan,White,208687,4,"$4,500.00"
Toyota,Green,105695,4,"$3,900.00"
Honda,Blue,46938,4,"$5,600.00"
Honda,Blue,58910,4,"$6,600.00"
Nissan,White,206056,4,"$5,200.00"
Toyota,White,154250,4,"$5,900.00"
Toyota,Green,101182,4,"$2,800.00"
BMW,Black,4048,5,"$22,100.00"
BMW,Black,18519,5,"$23,900.00"
BMW,Black,15171,5,"$23,400.00"
Honda,Blue,50437,4,"$5,600.00"
Toyota,White,53987,4,"$5,000.00"
Honda,Red,91345,4,"$3,200.00"
Nissan,White,204313,4,"$2,100.00"
Nissan,White,26335,4,"$10,000.00"
Honda,Blue,46994,4,"$7,300.00"
Toyota,White,144598,4,"$4,000.00"
Honda,Red,87045,4,"$5,900.00"
BMW,Black,9229,5,"$20,500.00"
Honda,Blue,48455,4,"$8,500.00"
Nissan,White,41430,4,"$9,400.00"
Nissan,White,220524,4,"$5,000.00"
Honda,Blue,42591,4,"$8,500.00"
BMW,Black,19256,5,"$23,000.00"
Nissan,White,217468,4,"$5,000.00"
Nissan,White,217660,4,"$2,200.00"
BMW,Black,4615,5,"$22,700.00"
Honda,Red,86653,4,"$6,600.00"
Honda,Blue,46375,4,"$7,100.00"
Toyota,Blue,28444,3,"$5,100.00"
Toyota,Blue,42287,3,"$8,100.00"
Toyota,White,156652,4,"$3,800.00"
Nissan,White,37236,4,"$9,100.00"
Toyota,Green,96235,4,"$6,300.00"
Honda,Blue,53889,4,"$7,900.00"
Honda,Blue,41298,4,"$6,200.00"
Honda,Red,85895,4,"$6,400.00"
Toyota,White,149050,4,"$3,400.00"
Toyota,Blue,35495,3,"$5,800.00"
Nissan,White,26242,4,"$7,700.00"
Honda,Blue,47010,4,"$5,600.00"
BMW,Black,8858,5,"$23,800.00"
Nissan,White,211303,4,"$2,800.00"
Nissan,White,221684,4,"$3,600.00"
Honda,Blue,55454,4,"$8,600.00"
Honda,Blue,62191,4,"$7,700.00"
Toyota,Green,92657,4,"$3,600.00"
Toyota,Green,99970,4,"$2,700.00"
Honda,Blue,59172,4,"$7,900.00"
Honda,Blue,45798,4,"$7,800.00"
Honda,Blue,63449,4,"$6,200.00"
Nissan,White,206515,4,"$2,800.00"
Honda,Red,78200,4,"$3,100.00"
Toyota,White,62468,4,"$4,300.00"
BMW,Black,18169,5,"$22,700.00"
Nissan,White,41154,4,"$10,400.00"
Toyota,Green,89912,4,"$3,300.00"
BMW,Black,1369,5,"$20,400.00"
BMW,Black,11671,5,"$22,100.00"
BMW,Black,18543,5,"$23,400.00"
BMW,Black,4154,5,"$21,300.00"
Toyota,White,56102,4,"$6,000.00"
Nissan,White,39168,4,"$11,300.00"
Honda,Blue,55409,4,"$6,200.00"
Honda,Red,97677,4,"$6,200.00"
Nissan,White,204911,4,"$5,000.00"
Nissan,White,22169,4,"$9,500.00"
Toyota,White,55442,4,"$7,600.00"
Toyota,Green,91108,4,"$6,100.00"
Nissan,White,40717,4,"$11,600.00"
Nissan,White,206958,4,"$4,500.00"
Toyota,Blue,35462,3,"$8,600.00"
Toyota,Green,96668,4,"$2,900.00"
Nissan,White,25614,4,"$9,700.00"
Honda,Blue,46791,4,"$6,000.00"
Toyota,Blue,40619,3,"$7,200.00"
Toyota,Blue,25558,3,"$5,200.00"
Honda,Blue,52236,4,"$9,000.00"
Nissan,White,32329,4,"$9,200.00"
Toyota,White,51409,4,"$6,400.00"
Toyota,White,62249,4,"$7,000.00"
Honda,Red,78683,4,"$5,300.00"
Toyota,Green,97309,4,"$3,500.00"
Toyota,White,57560,4,"$5,900.00"
Toyota,White,152576,4,"$3,200.00"
Toyota,Blue,29892,3,"$5,100.00"
Honda,Blue,51944,4,"$5,900.00"
Toyota,White,145844,4,"$3,600.00"
Toyota,White,69190,4,"$6,300.00"
Toyota,Blue,39470,3,"$5,000.00"
Honda,Blue,50724,4,"$6,100.00"
Toyota,Green,107438,4,"$6,400.00"
Toyota,Blue,33196,3,"$5,100.00"
Nissan,White,30316,4,"$11,300.00"
Toyota,Blue,41883,3,"$6,300.00"
Toyota,White,152366,4,"$2,100.00"
Nissan,White,207875,4,"$1,700.00"
Honda,Blue,47106,4,"$6,500.00"
Toyota,Blue,34588,3,"$8,500.00"
Toyota,Green,95868,4,"$2,600.00"
Toyota,White,58173,4,"$7,200.00"
Toyota,White,144538,4,"$4,600.00"
Honda,Blue,55631,4,"$7,300.00"
Honda,Red,91302,4,"$4,600.00"
Nissan,White,216216,4,"$4,600.00"
Honda,Blue,55704,4,"$7,900.00"
Toyota,Green,90066,4,"$5,500.00"
BMW,Black,18137,5,"$21,000.00"
Toyota,White,157575,4,"$2,300.00"
Honda,Red,87806,4,"$6,600.00"
Nissan,White,26377,4,"$11,600.00"
Toyota,White,155381,4,"$3,500.00"
Nissan,White,24091,4,"$11,600.00"
Toyota,White,155371,4,"$2,000.00"
Honda,Blue,50297,4,"$6,800.00"
Honda,Blue,64246,4,"$8,700.00"
Nissan,White,24651,4,"$7,900.00"
Toyota,White,156022,4,"$2,300.00"
Toyota,Blue,38937,3,"$6,800.00"
Toyota,White,50876,4,"$7,000.00"
Toyota,White,54142,4,"$7,400.00"
Toyota,Blue,37751,3,"$6,800.00"
BMW,Black,8145,5,"$21,500.00"
Toyota,Blue,29628,3,"$7,400.00"
Toyota,White,57987,4,"$7,300.00"
Toyota,Green,96012,4,"$3,200.00"
BMW,Black,5644,5,"$21,200.00"
Toyota,White,67019,4,"$7,900.00"
Honda,Blue,58155,4,"$7,500.00"
Toyota,Blue,40626,3,"$6,100.00"
Honda,Blue,44009,4,"$6,800.00"
Nissan,White,38814,4,"$11,400.00"
Toyota,White,64098,4,"$7,900.00"
Toyota,Green,94390,4,"$6,500.00"
Honda,Red,92161,4,"$3,500.00"
Honda,Blue,53046,4,"$8,900.00"
Toyota,Green,95162,4,"$4,100.00"
Toyota,White,159265,4,"$2,000.00"
Toyota,Blue,23699,3,"$8,400.00"
Toyota,White,51931,4,"$5,000.00"
Nissan,White,30804,4,"$8,700.00"
Honda,Red,95947,4,"$3,700.00"
Nissan,White,22681,4,"$8,100.00"
Toyota,Green,106109,4,"$6,500.00"
Honda,Blue,58145,4,"$6,800.00"
Honda,Blue,43503,4,"$8,500.00"
Honda,Red,83136,4,"$6,200.00"
Nissan,White,38543,4,"$7,900.00"
Toyota,White,62775,4,"$4,600.00"
Toyota,White,156287,4,"$5,900.00"
Honda,Blue,48882,4,"$5,800.00"
Toyota,White,143386,4,"$2,600.00"
Nissan,White,35100,4,"$11,300.00"
Nissan,White,212757,4,"$1,600.00"
Toyota,White,66964,4,"$7,200.00"
Honda,Blue,59863,4,"$7,700.00"
Honda,Blue,52868,4,"$8,900.00"
Honda,Blue,64269,4,"$6,500.00"
Toyota,White,141722,4,"$2,800.00"
BMW,Black,4685,5,"$20,700.00"
Toyota,White,153327,4,"$3,500.00"
Toyota,White,57253,4,"$6,900.00"
Toyota,White,159171,4,"$5,300.00"
Toyota,Green,98648,4,"$3,500.00"
Honda,Red,89209,4,"$5,400.00"
Toyota,White,63296,4,"$5,200.00"
Honda,Blue,54223,4,"$8,500.00"
BMW,Black,14424,5,"$20,400.00"
Honda,Red,89050,4,"$4,500.00"
Toyota,White,150500,4,"$5,600.00"
Toyota,Blue,25028,3,"$5,600.00"
Toyota,White,54452,4,"$5,500.00"
Toyota,Blue,28430,3,"$8,600.00"
Honda,Blue,58807,4,"$6,200.00"
Nissan,White,24449,4,"$10,900.00"
BMW,Black,8569,5,"$23,000.00"
BMW,Black,13101,5,"$22,700.00"
Nissan,White,205584,4,"$3,700.00"
Toyota,Green,99036,4,"$6,400.00"
Honda,Blue,44905,4,"$6,600.00"
Honda,Blue,54278,4,"$5,100.00"
Toyota,White,66364,4,"$7,100.00"
Toyota,White,54611,4,"$5,400.00"
BMW,Black,20402,5,"$23,000.00"
Nissan,White,27478,4,"$10,700.00"
Nissan,White,37947,4,"$7,900.00"
BMW,Black,2030,5,"$23,000.00"
Toyota,White,158114,4,"$2,400.00"
Honda,Red,84732,4,"$3,000.00"
Honda,Red,89837,4,"$6,600.00"
Toyota,Blue,24976,3,"$9,000.00"
Toyota,White,54000,4,"$6,800.00"
Nissan,White,208147,4,"$5,100.00"
Honda,Blue,38436,4,"$6,900.00"
Toyota,Blue,27936,3,"$8,000.00"
Nissan,White,29602,4,"$8,600.00"
Honda,Blue,50274,4,"$8,500.00"
Toyota,White,153522,4,"$4,800.00"
Toyota,White,143956,4,"$5,200.00"
Toyota,White,157493,4,"$2,000.00"
Honda,Blue,46334,4,"$6,000.00"
Toyota,White,145769,4,"$3,400.00"
Honda,Blue,39071,4,"$6,600.00"
Toyota,Blue,34710,3,"$7,900.00"
Nissan,White,23682,4,"$11,200.00"
Toyota,Green,105494,4,"$2,800.00"
Honda,Blue,60043,4,"$5,700.00"
Toyota,Blue,32366,3,"$8,200.00"
Honda,Blue,55999,4,"$5,500.00"
Toyota,Green,89630,4,"$5,000.00"
Honda,Blue,44506,4,"$5,800.00"
Honda,Blue,38965,4,"$6,300.00"
Toyota,White,157252,4,"$3,800.00"
BMW,Black,6924,5,"$23,200.00"
Toyota,Blue,33887,3,"$6,300.00"
Honda,Red,78311,4,"$6,500.00"
Honda,Blue,52281,4,"$6,600.00"
Toyota,White,57587,4,"$8,100.00"
Honda,Red,78627,4,"$4,900.00"
BMW,Black,12836,5,"$23,100.00"
BMW,Black,7167,5,"$20,800.00"
Nissan,White,40488,4,"$7,700.00"
Honda,Blue,47705,4,"$6,000.00"
Honda,Blue,50225,4,"$7,500.00"
Toyota,Green,108383,4,"$3,000.00"
Toyota,Blue,38597,3,"$5,300.00"
Toyota,Blue,40055,3,"$5,200.00"
Honda,Blue,62693,4,"$5,700.00"
BMW,Black,6252,5,"$20,700.00"
Toyota,White,145147,4,"$2,300.00"
Honda,Red,80042,4,"$6,500.00"
Toyota,White,57357,4,"$6,000.00"
Toyota,Blue,34592,3,"$6,300.00"
Toyota,White,53440,4,"$6,700.00"
Honda,Blue,41342,4,"$5,800.00"
Honda,Blue,46216,4,"$8,500.00"
Nissan,White,217647,4,"$2,400.00"
Honda,Red,80813,4,"$6,400.00"
Honda,Red,91483,4,"$3,300.00"
Toyota,Green,101357,4,"$2,900.00"
Honda,Red,92296,4,"$5,600.00"
Honda,Red,86686,4,"$6,800.00"
Toyota,Blue,36740,3,"$7,000.00"
Nissan,White,203823,4,"$5,000.00"
BMW,Black,18928,5,"$21,200.00"
BMW,Black,1877,5,"$20,400.00"
Nissan,White,210281,4,"$5,200.00"
Honda,Red,92411,4,"$5,000.00"
Toyota,White,153966,4,"$4,400.00"
Honda,Red,94678,4,"$3,100.00"
Honda,Red,85299,4,"$5,000.00"
BMW,Black,5350,5,"$20,300.00"
Toyota,Blue,26909,3,"$8,700.00"
Toyota,White,52502,4,"$4,700.00"
Honda,Red,95000,4,"$3,700.00"
Honda,Red,97065,4,"$6,000.00"
Toyota,Blue,28035,3,"$7,000.00"
Nissan,White,29935,4,"$10,300.00"
Toyota,Blue,27040,3,"$5,400.00"
Nissan,White,214225,4,"$4,400.00"
Honda,Red,85550,4,"$7,000.00"
Toyota,Blue,23716,3,"$8,400.00"
Nissan,White,204157,4,"$2,500.00"
Toyota,Blue,41089,3,"$8,200.00"
Toyota,Green,100387,4,"$4,700.00"
Toyota,White,144772,4,"$4,000.00"
Toyota,White,149391,4,"$3,800.00"
Nissan,White,208429,4,"$3,600.00"
Honda,Blue,53662,4,"$5,900.00"
Honda,Blue,49068,4,"$8,500.00"
Toyota,White,146844,4,"$2,700.00"
Honda,Red,82745,4,"$3,800.00"
Toyota,White,56731,4,"$5,700.00"
Toyota,White,65368,4,"$7,600.00"
Honda,Blue,53035,4,"$6,800.00"
Toyota,Blue,25088,3,"$8,400.00"
Nissan,White,28656,4,"$7,700.00"
Nissan,White,33116,4,"$8,800.00"
BMW,Black,12672,5,"$21,900.00"
BMW,Black,2721,5,"$22,300.00"
Toyota,Green,103177,4,"$5,700.00"
Toyota,White,157618,4,"$5,800.00"
Toyota,Green,95526,4,"$5,100.00"
Toyota,Green,108278,4,"$3,300.00"
Honda,Blue,53622,4,"$7,100.00"
Nissan,White,35407,4,"$9,300.00"
Toyota,Blue,32129,3,"$8,700.00"
Honda,Blue,62487,4,"$8,900.00"
Toyota,Green,97904,4,"$6,100.00"
Toyota,Blue,30043,3,"$6,300.00"
Toyota,White,54312,4,"$5,100.00"
Nissan,White,22924,4,"$11,000.00"
Nissan,White,206236,4,"$5,100.00"
Nissan,White,41470,4,"$9,100.00"
Honda,Blue,46548,4,"$8,400.00"
Honda,Blue,42286,4,"$8,700.00"
Honda,Red,97206,4,"$3,200.00"
BMW,Black,6480,5,"$20,800.00"
Toyota,Blue,38034,3,"$7,300.00"
Nissan,White,214809,4,"$2,400.00"
Honda,Blue,49486,4,"$7,800.00"
Honda,Red,87334,4,"$5,600.00"
Honda,Red,81608,4,"$5,300.00"
Toyota,Green,102329,4,"$4,400.00"
Honda,Blue,45274,4,"$9,300.00"
Nissan,White,213245,4,"$5,100.00"
Toyota,Green,108669,4,"$4,300.00"
Honda,Red,84429,4,"$3,100.00"
Nissan,White,213283,4,"$4,600.00"
Honda,Blue,50381,4,"$6,200.00"
Honda,Blue,45242,4,"$7,700.00"
Nissan,White,22814,4,"$9,200.00"
Toyota,White,141574,4,"$5,200.00"
Honda,Blue,36521,4,"$6,500.00"
Honda,Blue,62050,4,"$6,900.00"
Honda,Blue,40727,4,"$7,300.00"
BMW,Black,14607,5,"$21,600.00"
Toyota,White,156560,4,"$3,900.00"
Toyota,Blue,24654,3,"$8,600.00"
Nissan,White,25227,4,"$10,200.00"
Toyota,White,62972,4,"$7,000.00"
Toyota,White,51852,4,"$5,100.00"
Honda,Blue,49648,4,"$7,100.00"
Nissan,White,214098,4,"$4,700.00"
Honda,Blue,49541,4,"$7,800.00"
Honda,Red,89603,4,"$3,000.00"
Nissan,White,37361,4,"$7,900.00"
Honda,Red,84089,4,"$6,800.00"
Toyota,White,67640,4,"$5,000.00"
Toyota,Green,108973,4,"$5,700.00"
Toyota,Green,94858,4,"$3,400.00"
Nissan,White,222965,4,"$3,500.00"
Honda,Blue,64706,4,"$8,200.00"
Honda,Blue,54326,4,"$7,400.00"
Toyota,Green,101042,4,"$3,100.00"
Toyota,White,148096,4,"$3,900.00"
Nissan,White,24930,4,"$9,100.00"
Toyota,White,159130,4,"$5,700.00"
Toyota,Blue,31211,3,"$6,300.00"
Toyota,Green,96327,4,"$4,100.00"
Toyota,Green,102536,4,"$3,500.00"
BMW,Black,2532,5,"$23,400.00"
Nissan,White,32575,4,"$10,400.00"
Toyota,Green,100236,4,"$3,500.00"
Honda,Red,78566,4,"$6,600.00"
Toyota,Blue,31886,3,"$8,700.00"
Honda,Red,91558,4,"$4,200.00"
Toyota,White,53719,4,"$5,200.00"
Nissan,White,40729,4,"$10,500.00"
Toyota,White,57483,4,"$5,600.00"
Toyota,Blue,23088,3,"$5,200.00"
Honda,Blue,40662,4,"$6,000.00"
Toyota,Blue,27384,3,"$6,500.00"
Toyota,Green,95255,4,"$2,500.00"
Nissan,White,36437,4,"$9,300.00"
Honda,Blue,43010,4,"$8,800.00"
Toyota,White,55320,4,"$5,700.00"
Honda,Blue,57954,4,"$6,000.00"
Toyota,White,142822,4,"$5,300.00"
Honda,Red,95207,4,"$4,000.00"
Honda,Blue,37279,4,"$8,700.00"
BMW,Black,20887,5,"$21,000.00"
Nissan,White,215772,4,"$1,500.00"
Honda,Blue,50451,4,"$7,400.00"
Honda,Red,94538,4,"$4,300.00"
Honda,Red,82703,4,"$7,000.00"
Toyota,Green,107435,4,"$3,700.00"
Toyota,Green,99349,4,"$4,100.00"
Toyota,Green,89222,4,"$3,400.00"
Toyota,Green,108468,4,"$3,000.00"
Toyota,Green,94337,4,"$2,500.00"
Honda,Blue,36713,4,"$8,900.00"
Toyota,White,52193,4,"$6,000.00"
Honda,Red,86314,4,"$6,000.00"
BMW,Black,14729,5,"$20,800.00"
Toyota,White,154555,4,"$3,000.00"
Nissan,White,207253,4,"$2,100.00"
Nissan,White,210065,4,"$2,600.00"
Toyota,White,146981,4,"$5,100.00"
Toyota,White,63772,4,"$5,600.00"
Toyota,White,158060,4,"$4,300.00"
Nissan,White,31944,4,"$8,000.00"
Honda,Blue,42964,4,"$7,900.00"
Nissan,White,30302,4,"$9,900.00"
Nissan,White,203479,4,"$4,200.00"
BMW,Black,1583,5,"$21,300.00"
Toyota,Green,97388,4,"$4,100.00"
Nissan,White,36758,4,"$10,800.00"
Toyota,White,62763,4,"$6,100.00"
Nissan,White,221479,4,"$3,600.00"
Toyota,Blue,32409,3,"$8,900.00"
Toyota,Green,95202,4,"$4,500.00"
Toyota,Green,104319,4,"$4,300.00"
BMW,Black,19023,5,"$21,300.00"
Nissan,White,25236,4,"$9,000.00"
BMW,Black,12095,5,"$20,200.00"
Toyota,White,54809,4,"$7,500.00"
BMW,Black,14635,5,"$22,400.00"
Toyota,White,65444,4,"$7,500.00"
Honda,Red,83896,4,"$5,100.00"
BMW,Black,3227,5,"$22,400.00"
Toyota,White,152381,4,"$4,600.00"
Honda,Blue,52798,4,"$9,100.00"
Honda,Red,82443,4,"$5,900.00"
Honda,Red,82875,4,"$4,700.00"
Honda,Red,90674,4,"$5,800.00"
Nissan,White,213110,4,"$1,900.00"
Honda,Blue,39117,4,"$8,100.00"
Toyota,White,64430,4,"$7,700.00"
Nissan,White,210334,4,"$3,200.00"
